,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel",GINI Index(Household Income)
218,Brazil,2018,6.19092178344727,9.56680583953857,0.881505250930786,66.4000015258789,0.750609040260315,-0.123364955186844,0.763251304626465,0.749727845191956,0.349656254053116,0.168186649680138,0.015775501728058,-0.364512830972671,2.63786721229553,0.426086336374283,0.5458125,0.420397132635117
219,Brazil,2019,6.45114898681641,9.5672779083252,0.899175047874451,66.5999984741211,0.830206036567688,-0.068100318312645,0.761840581893921,0.760845541954041,0.337051331996918,0.340850085020065,0.022957215706507,-0.299972514311473,2.48532223701477,0.38525265455246,0.5458125,0.607332289218903
227,Bulgaria,2016,4.83756065368652,9.78654193878174,0.926036059856415,66.4000015258789,0.700265526771545,-0.168324396014214,0.935988187789917,0.621855139732361,0.171699851751328,0.221241772174835,0.239220887422562,0.181124970316887,1.91759252548218,0.396396577358246,0.354666666666667,0.353391379117966
228,Bulgaria,2017,5.09690189361572,9.83125114440918,0.941754579544067,66.5999984741211,0.689047038555145,-0.152540609240532,0.910799741744995,0.61421674489975,0.188637346029282,0.326087951660156,0.355363190174103,0.170989722013473,1.85236382484436,0.363429367542267,0.354666666666667,0.343219518661499
229,Bulgaria,2018,5.09881353378296,9.86893463134766,0.923853278160095,66.8000030517578,0.724335908889771,-0.174633413553238,0.952014446258545,0.639021873474121,0.189090982079506,0.218995898962021,0.37151038646698,0.166838869452477,2.03750658035278,0.399604052305222,0.354666666666667,0.341206520795822
230,Bulgaria,2019,5.10843801498413,9.90556621551514,0.948204398155212,67,0.82192987203598,-0.106837138533592,0.942806482315064,0.662825405597687,0.199888318777084,0.268381834030151,0.322031488021215,0.172984520594279,2.05216240882874,0.401720136404038,0.354666666666667,0.3606216609478
240,Burkina Faso,2016,4.20563459396362,7.40395975112915,0.764401137828827,52.9000015258789,0.644681513309479,0.008135749027133,0.720542430877685,0.616066873073578,0.337300181388855,0.663711369037628,-0.427009671926498,-0.387727320194244,1.96671342849731,0.467637747526169,0.394666666666667,0.559157967567444
241,Burkina Faso,2017,4.64689111709595,7.43616580963135,0.784761369228363,53.4000015258789,0.613774716854095,-0.054692730307579,0.727451324462891,0.585172474384308,0.353821069002151,0.54065614938736,-0.431102007627487,-0.383928030729294,2.19759202003479,0.472916603088379,0.394666666666667,0.553144335746765
242,Burkina Faso,2018,4.92723608016968,7.47056198120117,0.664859473705292,53.9000015258789,0.720743477344513,-0.004473623819649,0.75739860534668,0.710883557796478,0.342865526676178,0.622255086898804,-0.542066156864166,-0.380657762289047,2.64606976509094,0.537029206752777,0.394666666666667,0.605102121829987
243,Burkina Faso,2019,4.74089288711548,7.50100803375244,0.683102369308472,54.4000015258789,0.677546858787537,0.004316683858633,0.72939658164978,0.690925896167755,0.364775389432907,0.703626155853272,-0.466725945472717,-0.384104371070862,2.84278869628906,0.599631488323212,0.394666666666667,0.490208089351654
259,Cambodia,2016,4.46125936508179,8.15098285675049,0.745901226997376,60.7999992370606,0.957821488380432,0.075313247740269,0.840416848659515,0.838551998138428,0.398200303316116,0.739886224269867,-0.447949409484863,-0.873978555202484,2.56057643890381,0.573958218097687,0.382800789525595,0.548649072647095
260,Cambodia,2017,4.58584213256836,8.2034797668457,0.765094935894012,61.2000007629395,0.963774681091309,0.087028831243515,0.821022927761078,0.798616647720337,0.408283829689026,0.752442479133606,-0.532375037670136,-0.877148628234863,2.73265147209167,0.595888674259186,0.382800789525595,0.545690596103668
261,Cambodia,2018,5.1218376159668,8.26108646392822,0.794605374336243,61.5999984741211,0.958304822444916,0.034521259367466,0.82996141910553,0.8445925116539,0.414345800876617,0.746164351701736,-0.556551158428192,-0.878441214561462,2.91145253181458,0.568439066410065,0.382800789525595,0.603439152240753
