Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices ,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini Index(Household),Life Ladder
99,110,87,91,81,13,76,21,61,99,100,14,7.19536113739014
2,13,1,20,90,82,13,106,88,51,11,107,4.73295307159424
34,44,39,78,69,62,104,77,51,40,28,74,6.35891628265381
36,70,39,2,73,91,14,30,0,16,28,32,4.02869033813477
16,18,26,39,108,67,65,33,72,23,36,90,4.39612770080566
39,17,55,10,29,82,25,105,10,30,57,70,4.28773641586304
23,26,33,109,69,67,102,97,92,35,12,104,4.99828481674194
110,80,84,91,76,7,74,12,91,106,103,4,7.0613808631897
17,64,39,46,47,16,49,30,102,7,6,21,5.49746894836426
54,85,51,57,34,50,74,69,14,61,49,61,6.37481737136841
17,16,22,74,85,17,59,41,103,40,35,79,3.64015483856201
73,88,53,20,22,84,35,36,25,80,86,31,5.94044637680054
93,109,90,66,29,16,62,45,35,78,96,41,6.68964433670044
37,73,53,13,18,74,58,89,9,7,0,91,5.07075071334839
101,98,82,98,104,7,105,12,86,104,106,57,7.45896530151367
5,6,12,9,64,60,21,105,25,21,20,59,4.02289485931397
85,101,78,105,31,72,33,56,9,94,90,19,6.24941921234131
11,17,5,36,59,54,75,91,61,8,19,98,4.41572952270508
48,63,18,52,29,82,81,51,43,65,67,92,4.51365518569946
91,97,88,68,30,17,73,41,34,83,95,28,6.63522243499756
23,14,19,51,85,72,50,44,86,70,61,76,5.48131084442139
106,55,57,80,29,37,49,70,56,43,58,98,6.10611963272095
